"","year","party","national_two_party_vote_share","state","two_party_vote_share"
"897",1988,"Republican",53.8849646821393,"New Hampshire",63.2336327271339
"898",1988,"Republican",53.8849646821393,"New Jersey",56.9011576135352
"899",1988,"Republican",53.8849646821393,"New Mexico",52.5099157404854
"900",1988,"Republican",53.8849646821393,"New York",46.5779473608121
"901",1988,"Republican",53.8849646821393,"North Carolina",58.15753786855
"902",1988,"Republican",53.8849646821393,"North Dakota",56.5953557278677
"903",1988,"Republican",53.8849646821393,"Ohio",55.4740646502507
"904",1988,"Republican",53.8849646821393,"Oklahoma",58.3898122724417
"905",1988,"Republican",53.8849646821393,"Oregon",47.616319202402
"906",1988,"Republican",53.8849646821393,"Pennsylvania",51.1695469953377
"907",1988,"Republican",53.8849646821393,"Rhode Island",44.1221294466894
"908",1988,"Republican",53.8849646821393,"South Carolina",62.0721455644183
"909",1988,"Republican",53.8849646821393,"South Dakota",53.1923788085859
"910",1988,"Republican",53.8849646821393,"Tennessee",58.2186405019708
"911",1988,"Republican",53.8849646821393,"Texas",56.3463329311373
"912",1988,"Republican",53.8849646821393,"Utah",67.3878748319007
"913",1988,"Republican",53.8849646821393,"Vermont",51.7817130767245
"914",1988,"Republican",53.8849646821393,"Virginia",60.3589460575824
"915",1988,"Republican",53.8849646821393,"Washington",49.1922882454142
"916",1988,"Republican",53.8849646821393,"West Virginia",47.6231068023794
"917",1988,"Republican",53.8849646821393,"Wisconsin",48.176533705439
"918",1988,"Republican",53.8849646821393,"Wyoming",61.4248764225773
"919",1984,"Democrat",40.8450704225352,"Alabama",38.7366046486817
"920",1984,"Democrat",40.8450704225352,"Alaska",30.9440873522836
"921",1984,"Democrat",40.8450704225352,"Arizona",32.883272429994
"922",1984,"Democrat",40.8450704225352,"Arkansas",38.7724118980559
"923",1984,"Democrat",40.8450704225352,"California",41.7754651778023
"924",1984,"Democrat",40.8450704225352,"Colorado",35.6342301643494
"925",1984,"Democrat",40.8450704225352,"Connecticut",39.000831236982
"926",1984,"Democrat",40.8450704225352,"Delaware",40.0463273008044
"927",1984,"Democrat",40.8450704225352,"District Of Columbia",86.1477339471008
"928",1984,"Democrat",40.8450704225352,"Florida",34.6675867864545
"929",1984,"Democrat",40.8450704225352,"Georgia",39.8021798518602
"930",1984,"Democrat",40.8450704225352,"Hawaii",44.2962757823506
"931",1984,"Democrat",40.8450704225352,"Idaho",26.724428802585
"932",1984,"Democrat",40.8450704225352,"Illinois",43.5267466927792
"933",1984,"Democrat",40.8450704225352,"Indiana",37.9265708783163
"934",1984,"Democrat",40.8450704225352,"Iowa",46.2761746699799
"935",1984,"Democrat",40.8450704225352,"Kansas",32.9705228884303
"936",1984,"Democrat",40.8450704225352,"Kentucky",39.635817610548
"937",1984,"Democrat",40.8450704225352,"Louisiana",38.5808388374578
"938",1984,"Democrat",40.8450704225352,"Maine",38.9308820993984
"939",1984,"Democrat",40.8450704225352,"Maryland",47.2424728078554
"940",1984,"Democrat",40.8450704225352,"Massachusetts",48.6016697627406
"941",1984,"Democrat",40.8450704225352,"Michigan",40.4536750018314
"942",1984,"Democrat",40.8450704225352,"Minnesota",50.090890768195
"943",1984,"Democrat",40.8450704225352,"Mississippi",37.6849649410584
"944",1984,"Democrat",40.8450704225352,"Missouri",39.975249332123
"945",1984,"Democrat",40.8450704225352,"Montana",38.698601236313
"946",1984,"Democrat",40.8450704225352,"Nebraska",28.995246326707
